# GAGE ( ANALOG network for IDs where YEAR <  2000)
# GAGE (DIGITAL network for IDs where YEAR >= 2000)
# MONTH for which rainfall is being aggregated
# S (season): W (wet, Jun-Oct) or D (dry)
# RAIN: total monthly rainfall in millimeters
gage,year,month,S,rain
RG002,1960,2,D,10.92
RG002,1960,3,D,5.84
RG002,1960,6,W,2.54
RG002,1960,7,W,23.62
RG002,1960,8,W,29.72
RG002,1960,9,W,27.69
RG002,1960,10,W,15.75
RG002,1960,11,D,0.0
RG002,1960,12,D,7.11
RG002,1961,1,D,2.54
RG002,1961,2,D,1.78
RG002,1961,3,D,0.0
RG002,1961,6,W,0.76
RG002,1961,7,W,50.55
RG002,1961,8,W,91.19
RG002,1961,9,W,13.97
RG002,1961,10,W,32.51
RG002,1961,11,D,5.84
RG002,1961,12,D,28.96
RG002,1962,1,D,36.07
RG002,1962,2,D,1.52
RG002,1962,3,D,6.35
RG002,1962,6,W,0.76
RG002,1962,7,W,79.76
RG002,1962,8,W,3.81
RG002,1962,9,W,19.05
RG002,1962,10,W,8.89
RG002,1962,11,D,19.3
RG002,1962,12,D,23.37
RG002,1963,1,D,4.57
RG002,1963,2,D,3.3
RG002,1963,3,D,0.25
RG002,1963,4,D,1.27
RG002,1963,7,W,66.29
RG002,1963,8,W,59.69
RG002,1963,9,W,8.38
RG002,1963,10,W,13.97
RG002,1963,11,D,29.97
RG002,1963,12,D,6.86
RG002,1964,1,D,8.13
RG002,1964,2,D,0.0
RG002,1964,3,D,7.87
RG002,1964,4,D,7.87
RG002,1964,6,W,1.52
RG002,1964,7,W,85.09
RG002,1964,8,W,30.99
RG002,1964,9,W,60.71
RG002,1964,10,W,13.21
RG002,1964,11,D,24.13
RG002,1964,12,D,1.52
RG002,1965,1,D,7.62
RG002,1965,2,D,0.76
RG002,1965,3,D,5.33
RG002,1965,4,D,0.0
RG002,1965,5,D,0.0
RG002,1965,6,W,1.27
RG002,1965,7,W,72.39
RG002,1965,8,W,19.81
RG002,1965,9,W,13.97
RG002,1965,10,W,0.0
RG002,1965,11,D,2.79
RG002,1965,12,D,78.99
RG002,1966,1,D,12.45
RG002,1966,2,D,23.62
RG002,1966,3,D,0.0
RG002,1966,4,D,4.32
RG002,1966,5,D,0.0
RG002,1966,6,W,6.1
RG002,1966,7,W,97.03
RG002,1966,8,W,114.81
